"Nom de la Station","MAPLE PLAINS"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46,30"
"Longitude","-63,58"
"Altitude","45,70"
"Identification Climat","8305500"
"Identification OMM",""
"Identification TC","XMP"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2001-06-01 00:00","2001","06","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 01:00","2001","06","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 02:00","2001","06","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 03:00","2001","06","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 04:00","2001","06","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 05:00","2001","06","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 06:00","2001","06","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 07:00","2001","06","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 08:00","2001","06","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 09:00","2001","06","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 10:00","2001","06","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 11:00","2001","06","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 12:00","2001","06","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 13:00","2001","06","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 14:00","2001","06","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 15:00","2001","06","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 16:00","2001","06","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 17:00","2001","06","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 18:00","2001","06","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 19:00","2001","06","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 20:00","2001","06","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 21:00","2001","06","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 22:00","2001","06","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-01 23:00","2001","06","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 00:00","2001","06","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 01:00","2001","06","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 02:00","2001","06","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 03:00","2001","06","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 04:00","2001","06","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 05:00","2001","06","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 06:00","2001","06","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 07:00","2001","06","02","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 08:00","2001","06","02","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 09:00","2001","06","02","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 10:00","2001","06","02","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 11:00","2001","06","02","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 12:00","2001","06","02","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 13:00","2001","06","02","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 14:00","2001","06","02","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 15:00","2001","06","02","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 16:00","2001","06","02","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 17:00","2001","06","02","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 18:00","2001","06","02","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 19:00","2001","06","02","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 20:00","2001","06","02","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 21:00","2001","06","02","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 22:00","2001","06","02","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-02 23:00","2001","06","02","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 00:00","2001","06","03","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 01:00","2001","06","03","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 02:00","2001","06","03","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 03:00","2001","06","03","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 04:00","2001","06","03","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 05:00","2001","06","03","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 06:00","2001","06","03","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 07:00","2001","06","03","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 08:00","2001","06","03","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 09:00","2001","06","03","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 10:00","2001","06","03","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 11:00","2001","06","03","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 12:00","2001","06","03","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 13:00","2001","06","03","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 14:00","2001","06","03","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 15:00","2001","06","03","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 16:00","2001","06","03","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 17:00","2001","06","03","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 18:00","2001","06","03","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 19:00","2001","06","03","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 20:00","2001","06","03","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 21:00","2001","06","03","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 22:00","2001","06","03","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-03 23:00","2001","06","03","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 00:00","2001","06","04","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 01:00","2001","06","04","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 02:00","2001","06","04","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 03:00","2001","06","04","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 04:00","2001","06","04","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 05:00","2001","06","04","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 06:00","2001","06","04","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 07:00","2001","06","04","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 08:00","2001","06","04","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 09:00","2001","06","04","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 10:00","2001","06","04","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 11:00","2001","06","04","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 12:00","2001","06","04","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 13:00","2001","06","04","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 14:00","2001","06","04","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 15:00","2001","06","04","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 16:00","2001","06","04","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 17:00","2001","06","04","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 18:00","2001","06","04","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 19:00","2001","06","04","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 20:00","2001","06","04","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 21:00","2001","06","04","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 22:00","2001","06","04","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-04 23:00","2001","06","04","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-05 00:00","2001","06","05","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-05 01:00","2001","06","05","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-05 02:00","2001","06","05","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-06-05 03:00","2001","06","05","03:00"," ","","","","","","","","","","","","","","","","","","",""
