"Nom de la Station","EUREKA"
"Province","NUNAVUT"
"Latitude","79,98"
"Longitude","-85,93"
"Altitude","10,40"
"Identification Climat","2401200"
"Identification OMM","71917"
"Identification TC","WEU"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1965-04-01 00:00","1965","04","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 01:00","1965","04","01","01:00"," ","-30,00","","-32,80","","75,00","","9,00","","3,00","","24,10","","102,62","","","","-33,00","","Dégagé"
"1965-04-01 02:00","1965","04","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 03:00","1965","04","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 04:00","1965","04","01","04:00"," ","-34,40","","-37,80","","72,00","","5,00","","6,00","","24,10","","102,67","","","","-42,00","","Dégagé"
"1965-04-01 05:00","1965","04","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 06:00","1965","04","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 07:00","1965","04","01","07:00"," ","-35,60","","-38,90","","71,00","","5,00","","6,00","","24,10","","102,70","","","","-43,00","","Dégagé"
"1965-04-01 08:00","1965","04","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 09:00","1965","04","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 10:00","1965","04","01","10:00"," ","-36,10","","-39,40","","70,00","","0,00","","0,00","","24,10","","102,67","","","","","","Dégagé"
"1965-04-01 11:00","1965","04","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 12:00","1965","04","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 13:00","1965","04","01","13:00"," ","-35,60","","-38,90","","71,00","","0,00","","0,00","","3,20","","102,58","","","","","","Cristaux de glace"
"1965-04-01 14:00","1965","04","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 15:00","1965","04","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 16:00","1965","04","01","16:00"," ","-35,60","","-38,90","","71,00","","11,00","","3,00","","24,10","","102,54","","","","-39,00","","Dégagé"
"1965-04-01 17:00","1965","04","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1965-04-01 18:00","1965","04","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
