"Nom de la Station","ULUKHAKTOK A"
"Province","NORTHWEST TERRITORIES"
"Latitude","70,76"
"Longitude","-117,81"
"Altitude","36,00"
"Identification Climat","2502501"
"Identification OMM",""
"Identification TC","YHI"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-04-01 00:00","2007","04","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-04-01 01:00","2007","04","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-04-01 02:00","2007","04","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-04-01 03:00","2007","04","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-04-01 04:00","2007","04","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-04-01 05:00","2007","04","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-04-01 06:00","2007","04","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2007-04-01 07:00","2007","04","01","07:00"," ","-32,80","","-36,00","","73,00","","3,00","","17,00","","24,10","","104,75","","","","-46,00","","Dégagé"
"2007-04-01 08:00","2007","04","01","08:00"," ","-31,30","","-34,40","","74,00","","5,00","","11,00","","24,10","","104,79","","","","-41,00","","Dégagé"
"2007-04-01 09:00","2007","04","01","09:00"," ","-30,50","","-33,60","","74,00","","4,00","","7,00","","24,10","","104,76","","","","-38,00","","Dégagé"
