"Nom de la Station","ALERT A"
"Province","NUNAVUT"
"Latitude","82,52"
"Longitude","-62,28"
"Altitude","30,50"
"Identification Climat","2400302"
"Identification OMM",""
"Identification TC","YLT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2005-09-01 00:00","2005","09","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 01:00","2005","09","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 02:00","2005","09","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 03:00","2005","09","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 04:00","2005","09","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 05:00","2005","09","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 06:00","2005","09","01","06:00"," ","-3,40","","-6,60","","78,00","","0,00","","0,00","","24,10","","100,39","","","","","","Généralement dégagé"
"2005-09-01 07:00","2005","09","01","07:00"," ","-3,60","","-5,90","","84,00","","19,00","","4,00","","24,10","","100,39","","","","-5,00","","Généralement dégagé"
"2005-09-01 08:00","2005","09","01","08:00"," ","-6,30","","-7,80","","89,00","","36,00","","4,00","","24,10","","100,37","","","","-8,00","","Généralement dégagé"
"2005-09-01 09:00","2005","09","01","09:00"," ","-4,00","","-6,00","","86,00","","0,00","","0,00","","24,10","","100,34","","","","","","Généralement dégagé"
"2005-09-01 10:00","2005","09","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 11:00","2005","09","01","11:00"," ","-3,90","","-6,40","","83,00","","0,00","","0,00","","24,10","","100,26","","","","","","Généralement dégagé"
"2005-09-01 12:00","2005","09","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 13:00","2005","09","01","13:00"," ","-3,20","","-5,50","","84,00","","18,00","","4,00","","24,10","","100,20","","","","-5,00","","Généralement dégagé"
"2005-09-01 14:00","2005","09","01","14:00"," ","-4,10","","-5,90","","87,00","","0,00","","0,00","","24,10","","100,17","","","","","","Généralement dégagé"
"2005-09-01 15:00","2005","09","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 16:00","2005","09","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 17:00","2005","09","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 18:00","2005","09","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 19:00","2005","09","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 20:00","2005","09","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 21:00","2005","09","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 22:00","2005","09","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-01 23:00","2005","09","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-02 00:00","2005","09","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-02 01:00","2005","09","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-02 02:00","2005","09","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-02 03:00","2005","09","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-02 04:00","2005","09","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-02 05:00","2005","09","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-02 06:00","2005","09","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-02 07:00","2005","09","02","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-09-02 08:00","2005","09","02","08:00"," ","-6,50","","-7,30","","94,00","","33,00","","9,00","","24,10","","100,08","","","","-11,00","","Généralement dégagé"
