"Nom de la Station","TUKTOYAKTUK A"
"Province","NORTHWEST TERRITORIES"
"Latitude","69,43"
"Longitude","-133,03"
"Altitude","4,30"
"Identification Climat","2203912"
"Identification OMM",""
"Identification TC","YUB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1999-03-01 00:00","1999","03","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1999-03-01 01:00","1999","03","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1999-03-01 02:00","1999","03","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1999-03-01 03:00","1999","03","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1999-03-01 04:00","1999","03","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1999-03-01 05:00","1999","03","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1999-03-01 06:00","1999","03","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1999-03-01 07:00","1999","03","01","07:00"," ","-27,20","","-31,40","","67,00","","6,00","","11,00","","24,10","","102,62","","","","-36,00","","Généralement dégagé"
"1999-03-01 08:00","1999","03","01","08:00"," ","-27,20","","-31,40","","67,00","","7,00","","15,00","","24,10","","102,62","","","","-38,00","","Cristaux de glace"
"1999-03-01 09:00","1999","03","01","09:00"," ","-28,50","","-33,00","","65,00","","5,00","","15,00","","16,10","","102,62","","","","-40,00","","Cristaux de glace"
"1999-03-01 10:00","1999","03","01","10:00"," ","-28,40","","-32,90","","65,00","","6,00","","15,00","","12,90","","102,62","","","","-39,00","","Généralement nuageux"
"1999-03-01 11:00","1999","03","01","11:00"," ","-28,10","","-32,50","","66,00","","7,00","","19,00","","12,90","","102,62","","","","-40,00","","Généralement nuageux"
